file,rows,what it is
01_enriched_contacts.csv,2834,"Every enriched contact: owner name, title, mobile / direct dial / office, email"
02_direct_lines.csv,396,Desk numbers that bypass the switchboard
03_postal_addresses.csv,2325,HQ addresses. Filter mailable=yes before a mail merge; city/state-only rows cannot be posted.
04_qc_flags.csv,445,Everything needing a human check before outreach
05_conference_rosters.csv,4684,"Every banked attendee record, flagged where it is one of our targets"
06_conference_events.csv,32,Events ranked by how many of our targets attend
07_conference_calendar_forward.csv,21,Forward 18-month conference calendar
08_transactions.csv,12,"Closed deals. Universe: 846 US electrical-contractor deals in 5yr, 334 industrial repair in 3yr. Only 9 of 846 electrical-contractor deals in 10 years disclose a multiple - the LMM trade is opaque. Disclosed real-contractor deals cluster at 9.0-9.7x EV/EBITDA and 0.2-1.1x EV/Revenue, vs 13-32x on the listed comps. Solar-era outliers (Kuubix 2.9x rev) excluded from the read."
09_live_mandates.csv,6,"Businesses currently marketed for sale. Live-mandate asking multiples run 3.2-6.0x EBITDA; disclosed closed deals for real contractors 9.0-9.7x at $20M+ EBITDA. The gap IS the size discount, observed directly."
10_bankers.csv,14,Advisors who sell these businesses - the intermediaries to be known by
11_buyers_pe_and_strategic.csv,26,"Who you are bidding against. 132 PE sponsors and 4466 strategics active in the trade. 132 PE sponsors and 4,466 strategics have bought in or around this trade. Consolidator pressure is real and current (Veritas/Saber, Greenbelt/Bowe & Gant, TJC/Sunbelt Solomon all closed platform deals in July-Aug 2026). For an owner-operator this cuts both ways: competition for targets now, a deep exit market later."
12_all_targets_status.csv,1908,Every target with its enrichment status
13_held_phone_verdicts.csv,8,"Held phones tested against the company switchboard. The HQ/mainline check could not be run at scale: Inven company records carry no phone field and web egress is blocked, so the only source left was the ~2% of Grata contacts that carry a phone. That resolved 8 of 245 held companies (~3%). Of those, 1 hold the company switchboard and need a cell; the rest differ from the published office line and are likely already direct or personal numbers. The remaining 237 are still UNKNOWN - not cleared."
14_owner_mobiles.csv,914,"THE CALL LIST - every owner with a mobile, plus their email and mailing address. Sorted decision-makers first; check the verify_first column before dialling."
