company,website,city,state,bucket,band,priority,batch,rank,verification,scope,model,size,li_headcount,founded_inven,ownership_inven,dq_gate,verdict_reason,founded_verified,owner_verified,ownership_verified,confidence,source_list,inven_id,list_stage_note
"Primary Utility Services, LLC",http://primaryus.com,Wolfforth,Texas,T3,1 Core,P1,Batch 1,1.0,Verified (prior pass),Strong,Strong,Strong,49.0,2008.0,Family Owned,,"confirmed — founded year (2008), family ownership, 100+ headcount and named direct utility customers all CONFIRMED from the company's own materials; no acquisition and no sponsor found; no gate fired.",2008,"Arthur Hernandez, Sr. (founder) and Sylvia Hernandez (co-founder) — CONFIRMED on their own Our Story page. Arthur Hernandez, Jr. is COO (LinkedIn). Founder started the business after leaving a job at a regional utility; second generation is","family owned, independent private — CONFIRMED via own site: ""a family-owned and -operated business"", ""a privately held minority and woman owned family business"", ""All 6 members of the Hernandez family now play a strong role in the continued",High,ElecInfra,12941388.0,"""Repair, maintenance, and construction"" of T&D networks plus ""storm restoration"" direct to ""electrical power providers""; family owned 2008; ""over 100"" employees"
Caldwell Electrical Contractors,http://caldwellelectric.com,Gainesville,,T4,1 Core,P1,Batch 1,2.0,Verified (prior pass),Strong,Strong,Strong,42.0,,Family Owned,,"confirmed — and strengthened. Second-generation family ownership is now confirmed from their own materials, Daniel Caldwell is confirmed as President, age is comfortably 10+ (35-40 years), and the ""99% repeat business ratio"" on industrial a","[unknown] exact year — but 10+ years CONFIRMED: ""nearly 40 years in operation"" (homepage) and ""Over 35 years"" / ""35 year Legacy"" (Who We Are), implying founding roughly 1987-1991","Daniel Caldwell, President — ""nearing 25 years of experience in the Industrial, Design/Build and Commercial fields""; second-generation owner","family owned, second generation, independent — CONFIRMED in own words: ""Being a second generation owned business, we have grown exponentially compared to 70% of family owned businesses that fail to succeed to a second generation.""",High,FromPete,4296.0,"""Specializing in maintenance, emergency response, automation"" for manufacturers and educational institutions, over 35 years, family owned, 42 staff - maintenanc"
Power Distribution Maintenance,http://pdmaintenance.com,Rockmart,,T1,1 Core,P1,Batch 1,3.0,Verified (prior pass),Strong,Strong,Strong,44.0,,Private,,"confirmed — the founded-year unknown that was the open item is now CONFIRMED at 2002 from their own site (24 years), no gate fired, scope and model strong from their own materials, size credibly in box, no acquisition or sponsor found.",2002,"Thomas Reid, Owner (LinkedIn profile headline reads ""Thomas Reid - Owner at Power Distribution Maintenance""). Brent Spink is the named contact on the site (Brent.Spink@pdmllc.com) but his title is [unknown]. Owner tenure [unknown].","independent private — INFERRED. Inven list field says 'Private'; no parent, sponsor, 'portfolio company of' or 'backed by' language anywhere on the site; no acquisition news found. Legal entity is Power Distribution Maintenance, L.L.C., Roc",Medium,FromPete,2812167.0,"""Electrical maintenance and testing services"" plus commissioning for data centers and manufacturing plants; multiple US regional offices; 44 employees credibly "
Southern Power Systems,http://sopower.com,Baton Rouge,,T1,1 Core,P1,Batch 1,4.0,Verified (prior pass),Strong,Strong,Strong,74.0,,Private,,"raised from P2 - the capping unknown was age, and incorporation on 7/28/1984 (41 years) resolves it; combined with 'Maintenance Contracts... Turnarounds, Call Out Services' in the company's own words, 74 employees squarely in the box, priva","1984 - 'Business Incorporated: 7/28/1984', i.e. 41 years. CAVEAT: this is a third-party BBB record, not the company's own materials; sopower.com states no founding year anywhere. A Louisiana Secretary of State check is the step that turns t","Troy Rispone - President & CEO. Listed as the BBB principal contact ('Mr. Troy Rispone, President') and self-described President & CEO on LinkedIn. Whether he is founder, family successor or a hired executive is not established.","independent private (supplied list says Private; no parent, sponsor or 'portfolio company of' language on sopower.com or in search). Family ownership not confirmed.",Medium,FromPete,579851.0,'Maintenance and repair services for power distribution systems' plus testing and commissioning for industrial consumers; 74 employees sits mid-box.
"Scobee Powerline Construction, LLC",http://scobeepowerline.com,Cameron,Missouri,T3,1 Core,P1,Batch 1,5.0,Verified (prior pass),Strong,Strong,Mixed,15.0,,Private,,"raised from P2 — every structural gate now clears on primary sources: formed 2005 (own site, 21 years), '50+ full-time employees' (own site, corroborated by FMCSA 39 drivers / 44 power units), Gail Scobee CEO of an independent LLC with no a",2005 — CONFIRMED from the company's own homepage: 'Scobee Powerline Construction LLC was formed in 2005'. 21 years as of 2026.,"Gail Scobee, CEO — named on the company's own about page. Eponymous company plus a Scobee in the CEO seat reads as owner-operated and family-held; that inference is from the shared name, not from a stated ownership disclosure.","independent private LLC — no sponsor, parent or acquisition evidence found. Site copyright reads 'Copyright © SPC, 2016 - 2026. All Rights Reserved' with no 'portfolio company of', 'backed by' or 'family of companies' language anywhere.",High,ElecInfra,24041346.0,"Overhead/underground construction, ""maintenance, and emergency storm restoration"" for electric cooperatives and municipal utilities; 15 LinkedIn employees likel"
Walter J Barnes Electric Co Inc,http://wjbe.com,Jefferson,Louisiana,T4,1 Core,P1,Batch 1,6.0,Verified,Strong,Mixed,Strong,33.0,1932.0,Family Owned,,"raised (from P2) — its own site productizes 'Preventative Maintenance Plans' and 'Predictive Maintenance Plans', names a full MV/HV test suite, and lists direct petrochemical/utility majors as customers; that is model-strong from own materi",1932,"William C. Ellis III, CEO/President (joined 1994, third generation); prior generations William C. Ellis (purchased company 1960) and sons Conner and Donald Ellis (purchased 1985). Source: http://wjbe.com/about-us/history/","independent private / family owned — third-generation family ownership stated on own history page (http://wjbe.com/about-us/history/). CONFIRMED family, no outside investor found.",High,ElecInfra + FromPete,13186417.0,"""Power distribution, high voltage systems, and maintenance"" for heavy industrial, commercial and governmental customers; family owned since 1932, 33 employees."
"Dynamic Electric, Inc.",http://dynamicelectric.com,Alsip,,T4,1 Core,P1,Batch 1,7.0,Verified,Strong,Mixed,Strong,40.0,,Family Owned,,"raised — its own site states explicit contract maintenance with named industrial verticals continuously since 1968, MV to 35kV with substation and transformer work, transformer testing, thermography with annual inspection programmes, arc fl",1968 (CONFIRMED from own site),"[unknown] — founder Edward Haberkorn is referred to on the About page as 'the late Edward Haberkorn'; no current president, CEO or owner is named on the about, contact or news pages","independent private (CONFIRMED absence of any parent/investor — no 'portfolio company of', 'backed by' or family-of-companies language on the site); supplied list says Family Owned, which the site does NOT confirm. IBEW Local 134 signatory ",Medium,FromPete,957167.0,"Industrial electrical contractor since 1968 doing 'electrical construction, maintenance, and design' plus emergency electrical needs; 40 employees, family owned"
Power Line Consultants,http://powerlineconsultantsllc.com,Doe Run,,T3,1 Core,P1,Batch 1,8.0,Verified,Strong,Strong,Unknown,,,Private,,"raised from P2 — every gap the list screen flagged is now closed from primary sources: founded 1998 (own site), size established at 99 drivers/141 power units (FMCSA, March 2026), and the customer base confirmed as 100+ cooperatives and cit",1998,"Tonya Garrett, Founder/President and Hud Garrett, Founder/Vice President — both still in post, 28 years in (https://www.powerlineconsultantsllc.com/our-staff). Second generation is already inside the business: Jud Garrett (Sr. General Forem","family owned, independent private — founder-owned since 1998 by Hud and Tonya Garrett, with six Garretts in named management roles (https://www.powerlineconsultantsllc.com/our-staff). Self-described as 'An independent contractor' (https://w",High,S1-S6 relevant (S2),50653538.0,"'24-hour emergency power restoration' and power line repair direct to cooperatives and municipal entities across Missouri, 25+ years - repair-led utility model."
California Electrical Services,http://california-electrical.com,Glendale,,T4,1 Core,P1,Batch 1,9.0,Verified,Strong,Mixed,Strong,42.0,,Private,,"raised — its own preventive-maintenance page sells switchgear, circuit breaker, transformer and protective-relay testing, calibration and retrofit as preventive and predictive maintenance plans, which is the core thesis asset set stated in ",1985 (CONFIRMED from own site),"Andrzej Krol, founder — 'founded in 1985 by Andrzej Krol, who still runs the company' (https://www.california-electrical.com/about.html). Apparent tenure 41 years as founder-operator.","independent private, founder-run (INFERRED from 'founded in 1985 by Andrzej Krol, who still runs the company' plus the complete absence of parent, investor or affiliate language)",Medium,FromPete,16785748.0,"Serves 'food and beverage manufacturing, pharmaceuticals, and general manufacturing' plants 'from design to maintenance' on safety and compliance; 42 employees "
Coalmont Electrical Development Corp,http://coalmont.com,McCalla,,T4,1 Core,P1,Batch 1,10.0,Verified,Strong,Mixed,Strong,51.0,,Private,,"raised — every P1 condition is now confirmed from the company's own materials: founded 1996 (30 years), founder-CEO still in the chair, 50+ stated staff putting it mid-box, MV acceptance and maintenance testing, breaker/relay maintenance-re",1996,"Shaun McCutcheon, founder and CEO — ""In 1996, he founded Coalmont Electrical Development Corporation"" and ""McCutcheon currently serves as Coalmont's CEO"" (https://en.wikipedia.org/wiki/Shaun_McCutcheon). Listed as President/CEO on his Linke","independent private, founder-owned — ""Proudly owned and operated in the U.S.A."" (https://www.coalmont.com/about); no parent, no investor, no 'family of companies' page anywhere on the site.",Medium,FromPete,10098679.0,"""Emergency field services"" and retrofits for manufacturing and mining sites; 51 employees in box, but engineering/automation framing raises project-mix question"
