kind,name,matching_portfolio,note
PE sponsor,Alpine Investors,70,70 matching electrical-adjacent portfolio cos - the most active services compounder; PeopleFirst/CEO-in-training model competes directly with an owner-operator buyer
PE sponsor,Tenex Capital,10,
PE sponsor,Kian Capital,8,
PE sponsor,ONCAP,7,
PE sponsor,Tower Arch Capital,6,
PE sponsor,CenterOak Partners,6,
PE sponsor,Grove Mountain Partners,6,
PE sponsor,KLH Capital,5,
PE sponsor,Sunny River Management,5,$1-20M EBITDA explicit mandate
PE sponsor,Highview Capital,5,
PE sponsor,Blackford Capital,4,
PE sponsor,Platte River Equity,4,
PE sponsor,Hamilton Robinson,4,
PE sponsor,Guardian Capital Partners,4,
PE sponsor,Dubin Clark,4,
PE sponsor,MRE Capital,4,
strategic acquirer,Quanta Services,11,
strategic acquirer,MasTec,11,
strategic acquirer,Comfort Systems USA,11,
strategic acquirer,EMCOR Group,10,
strategic acquirer,APi Group,10,
strategic acquirer,Dycom,10,
strategic acquirer,VINCI,18,European - also Eiffage (13); Grupo Visabeira just bought Carter Electric: Europeans entering US electrical services
strategic acquirer,Legrand,13,
strategic acquirer,Schneider Electric,12,
strategic acquirer,NearU,10,PE-backed resi/light-commercial roll-up
