kind,name,domain,hq,why,evidence
sector specialist,SF&P Advisors,sfpadvisors.com,Florida,service-contractor M&A specialist: HVAC/plumbing/ELECTRICAL/mechanical - the sell-side shop for trades businesses,
sector specialist,BaseRock Partners,baserockpartners.com,"Denver, CO",exclusively engineering & construction M&A incl. contractors; ESOP capability,
sector specialist,Romanchuk & Co.,romanchukco.com,"The Woodlands, TX",power/infrastructure/energy-transition boutique for founder-owned businesses,
sector specialist,League Park Advisors,leaguepark.com,"Cleveland, OH",commercial & industrial services sell-side,
sector specialist,GulfStar Group,gulfstargroup.com,"Houston, TX",Houston middle-market industrials,
sector specialist,Mufson Howe Hunter,mhhco.com,"Philadelphia, PA",manufacturing & industrial services MM bank,
sector specialist,Wilcox Investment Bankers,wilcoxinvestmentbankers.com,"Coppell, TX",commercial/industrial $20-250M revenue,
deal-evidenced,FMI Corporation,,,,sold CSI Electrical to MYR (2019) - the construction-industry IB
deal-evidenced,D.A. Davidson,,,,sold Walker Engineering to Comfort Systems (2019)
deal-evidenced,Woodbridge International,,,,currently marketing the $3.4M-EBITDA electrical contractor mandate
deal-evidenced,Sellside Group,,,,currently marketing Project Spark ($3.5M EBITDA)
deal-evidenced,Everingham & Kerr,,,,sold Saunders Contracting (2026) - LMM industrials
deal-evidenced,Intrepid Investment Bankers,,,,buy-side on Astro Pak/Frontline (2026)
deal-evidenced,Generational Group,,,,sold Indesco (2026) - LMM sell-side volume shop
